repo,description,stars,fork,archived,has_readme,url,updated
mba-economics,,1,False,False,True,https://github.com/nikbearbrown/mba-economics,2026-06-07T02:04:39Z
mba-corporate-finance,,1,False,False,True,https://github.com/nikbearbrown/mba-corporate-finance,2026-06-07T02:04:38Z
mba-case-studies,,1,False,False,True,https://github.com/nikbearbrown/mba-case-studies,2026-06-07T02:04:35Z
mba-business-ethics,,0,False,False,True,https://github.com/nikbearbrown/mba-business-ethics,2026-06-07T02:04:32Z
mba-accounting,,0,False,False,True,https://github.com/nikbearbrown/mba-accounting,2026-06-07T02:04:31Z
math-statistics,,0,False,False,True,https://github.com/nikbearbrown/math-statistics,2026-06-07T02:04:29Z
math-contemporary-mathematics,,0,False,False,True,https://github.com/nikbearbrown/math-contemporary-mathematics,2026-06-07T02:04:27Z
math-calculus,,0,False,False,True,https://github.com/nikbearbrown/math-calculus,2026-06-07T02:04:25Z
math-bayesian-probability,,0,False,False,True,https://github.com/nikbearbrown/math-bayesian-probability,2026-06-07T02:04:23Z
math-algebra,,0,False,False,True,https://github.com/nikbearbrown/math-algebra,2026-06-07T02:04:22Z
intelligence,Intelligence?,2,False,False,True,https://github.com/nikbearbrown/intelligence,2026-06-07T02:04:18Z
claude-code-for-students,,0,False,False,True,https://github.com/nikbearbrown/claude-code-for-students,2026-06-07T02:04:04Z
brutalist-figma-claude,,1,False,False,True,https://github.com/nikbearbrown/brutalist-figma-claude,2026-06-07T02:04:02Z
codex-for-students,,0,False,False,True,https://github.com/nikbearbrown/codex-for-students,2026-06-07T02:04:01Z
claude-prompt-engineering,,0,False,False,True,https://github.com/nikbearbrown/claude-prompt-engineering,2026-06-07T02:04:00Z
claude-for-education-a-practitioners-guide,,0,False,False,True,https://github.com/nikbearbrown/claude-for-education-a-practitioners-guide,2026-06-07T02:03:59Z
claude-code-for-teachers,,0,False,False,True,https://github.com/nikbearbrown/claude-code-for-teachers,2026-06-07T02:03:56Z
ai-1,,1,False,False,True,https://github.com/nikbearbrown/ai-1,2026-06-07T02:03:47Z
Topological-Early-Warning-Signals,,0,False,False,True,https://github.com/nikbearbrown/Topological-Early-Warning-Signals,2026-06-05T23:34:06Z
social-media-marketing-platform-edition,,0,False,False,True,https://github.com/nikbearbrown/social-media-marketing-platform-edition,2026-06-05T23:24:22Z
trust-the-teacher,,1,False,False,True,https://github.com/nikbearbrown/trust-the-teacher,2026-06-05T22:17:17Z
the-research-paper-recipe,,2,False,False,True,https://github.com/nikbearbrown/the-research-paper-recipe,2026-06-05T22:17:12Z
social-media-marketing-plus-one,,1,False,False,True,https://github.com/nikbearbrown/social-media-marketing-plus-one,2026-06-05T22:17:07Z
python-programming,,0,False,False,True,https://github.com/nikbearbrown/python-programming,2026-06-05T22:16:58Z
math-for-physics-vol-2,,0,False,False,True,https://github.com/nikbearbrown/math-for-physics-vol-2,2026-06-05T22:16:20Z
math-for-physics,,0,False,False,True,https://github.com/nikbearbrown/math-for-physics,2026-06-05T22:16:19Z
Living-Models,Living Models,0,False,False,True,https://github.com/nikbearbrown/Living-Models,2026-06-05T22:16:12Z
github-copilot-cli-for-students,,0,False,False,True,https://github.com/nikbearbrown/github-copilot-cli-for-students,2026-06-05T22:15:59Z
brutalist-using-d3-and-html-to-make-slide-decks,,0,False,False,True,https://github.com/nikbearbrown/brutalist-using-d3-and-html-to-make-slide-decks,2026-06-05T22:15:33Z
brutalist-d3-x-claude,,1,False,False,True,https://github.com/nikbearbrown/brutalist-d3-x-claude,2026-06-05T22:15:30Z
-mycroft,,0,False,False,False,https://github.com/nikbearbrown/-mycroft,2026-06-05T21:51:54Z
Irreducibly-Human,Irreducibly Human,0,False,False,True,https://github.com/nikbearbrown/Irreducibly-Human,2026-06-02T16:47:06Z
INFO_7390_Art_and_Science_of_Data,INFO 7390 The Art and Science of Data,11,False,False,True,https://github.com/nikbearbrown/INFO_7390_Art_and_Science_of_Data,2026-05-28T23:10:35Z
80-Days-to-Stay,80 Days to Stay,1,False,False,True,https://github.com/nikbearbrown/80-Days-to-Stay,2026-05-28T18:00:08Z
Cancer-Biology-and-Therapeutics,Cancer Biology and Therapeutics,0,False,False,False,https://github.com/nikbearbrown/Cancer-Biology-and-Therapeutics,2026-05-26T21:05:17Z
biology-anatomy-physiology-with-llms,,0,False,False,True,https://github.com/nikbearbrown/biology-anatomy-physiology-with-llms,2026-05-24T20:19:53Z
homes-of-hope-plus-one,,0,False,False,True,https://github.com/nikbearbrown/homes-of-hope-plus-one,2026-05-22T19:15:44Z
anatomy-physiology-with-llms,,1,False,False,True,https://github.com/nikbearbrown/anatomy-physiology-with-llms,2026-05-13T00:29:21Z
NIKBEARBROWN,NIKBEARBROWN Github,2,False,False,True,https://github.com/nikbearbrown/NIKBEARBROWN,2026-05-10T05:46:12Z
living-models-book,Living Models,1,False,False,True,https://github.com/nikbearbrown/living-models-book,2026-05-06T04:02:06Z
livingmodels_org,livingmodels.org,0,False,False,True,https://github.com/nikbearbrown/livingmodels_org,2026-03-30T05:23:11Z
Wilkes,Wilkes: AI Storytelling for Nonprofits,3,False,False,True,https://github.com/nikbearbrown/Wilkes,2026-03-30T05:23:09Z
Biojobs,Bio jobs,1,False,False,True,https://github.com/nikbearbrown/Biojobs,2026-01-08T21:18:41Z
medhavi_io,,2,False,False,True,https://github.com/nikbearbrown/medhavi_io,2025-12-09T18:57:42Z
NIKBEARBROWN.COM,NIKBEARBROWN.COM,0,False,False,True,https://github.com/nikbearbrown/NIKBEARBROWN.COM,2021-06-07T03:53:21Z
